global_step,phase,run,epoch,loss,lr
27081,pretrain,ep-3-res,,0.158301,9.09343963572778e-06
27181,pretrain,ep-3-res,,0.158299,9.086823967298792e-06
27312,pretrain,ep-3-res,,0.151832,9.078124766068447e-06
27362,pretrain,ep-3-res,,0.154783,9.074794703190507e-06
27462,pretrain,ep-3-res,,0.154601,9.068118430531846e-06
27512,pretrain,ep-3-res,,0.154389,9.064772229681676e-06
27712,pretrain,ep-3-res,,0.155065,9.051333767333985e-06
27812,pretrain,ep-3-res,,0.154976,9.044582403733117e-06
27912,pretrain,ep-3-res,,0.154979,9.037809666641363e-06
27962,pretrain,ep-3-res,,0.15481,9.034415294356433e-06
28062,pretrain,ep-3-res,,0.155114,9.027610565010922e-06
28162,pretrain,ep-3-res,,0.155126,9.020784552984378e-06
28262,pretrain,ep-3-res,,0.155111,9.013937294800188e-06
28462,pretrain,ep-3-res,,0.155238,9.00017918662065e-06
28612,pretrain,ep-3-res,,0.155497,8.989805107635318e-06
28712,pretrain,ep-3-res,,0.155652,8.982862696762175e-06
28862,pretrain,ep-3-res,,0.155614,8.972409635993549e-06
28912,pretrain,ep-3-res,,0.155735,8.968914782518047e-06
28962,pretrain,ep-3-res,,0.155676,8.965414686885235e-06
29062,pretrain,ep-3-res,,0.155663,8.958398787882367e-06
29112,pretrain,ep-3-res,,0.155671,8.954882993897168e-06
29212,pretrain,ep-3-res,,0.155654,8.947835740473834e-06
29262,pretrain,ep-3-res,,0.155688,8.944304290462503e-06
29312,pretrain,ep-3-res,,0.155735,8.940767631214208e-06
29362,pretrain,ep-3-res,,0.155694,8.937225767459795e-06
29462,pretrain,ep-3-res,,0.155663,8.930126445390722e-06
